,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
24,0.5375126361846924,0.0781943505318075,0.12188701629638672,0.00625688789883167,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 7}",0.986014941690962,0.9829628279883382,0.9873815597667639,0.9911137904066736,0.994055841052666,0.9883026454698495,0.003887565493987087,99,0.9852495222261612,0.9901613225268836,0.9899905871422809,0.9896031951315384,0.9892374176475184,0.9888484089348765,0.001827639388987693
25,0.514930009841919,0.06696754648731718,0.11996212005615234,0.007874047161405622,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 8}",0.9888848396501457,0.9733053935860059,0.9770863702623908,0.9896539363920749,0.9873817550980327,0.9832592414763763,0.006734764490682969,290,0.9870033291362582,0.9853738045466955,0.9796513167813732,0.9862630525237424,0.9809452063043591,0.9838473418584858,0.0029717004989223356
26,0.47903757095336913,0.043290323071130093,0.11413331031799316,0.006258257273837089,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 9}",0.9480229591836734,0.9688411078717201,0.9807762390670555,0.9881517205422314,0.9903538345716999,0.9752196776633869,0.015540994314243403,334,0.9537474175763725,0.9859324637645726,0.9833099030597899,0.9848166078407811,0.9822323707098588,0.978007752590275,0.012195782958571032
27,0.5609928607940674,0.07022108878581239,0.12036366462707519,0.006228173065836557,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.985240524781341,0.9733053935860059,0.9881559766763849,0.9918437174139728,0.9947857680599653,0.986661566091389,0.007422996634297958,141,0.9855677664633327,0.9883378360206838,0.9903552844435207,0.9894209129587349,0.9905357712488932,0.988843514227033,0.0018148722363092078
28,0.5124902248382568,0.05077254058724043,0.1218745231628418,0.006250000165528033,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 15}",0.985194970845481,0.9667000728862974,0.9800929300291545,0.9933459332638165,0.9933259140453669,0.9837256299565541,0.009899086225755502,241,0.9846327966781985,0.9838917888097013,0.9824329996047414,0.9879508428768403,0.9885194781521796,0.9854855812243322,0.0023608352704689835
29,0.4968695640563965,0.05711185301664373,0.11915531158447265,0.008020320269374522,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 20}",0.985194970845481,0.9667000728862974,0.9800929300291545,0.9933459332638165,0.9933259140453669,0.9837256299565541,0.009899086225755502,241,0.9846327966781985,0.9838917888097013,0.9824329996047414,0.9879508428768403,0.9885194781521796,0.9854855812243322,0.0023608352704689835
30,0.49279308319091797,0.05252879219757623,0.11441335678100586,0.007894260577936183,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 25}",0.985194970845481,0.9667000728862974,0.9800929300291545,0.9933459332638165,0.9933259140453669,0.9837256299565541,0.009899086225755502,241,0.9846327966781985,0.9838917888097013,0.9824329996047414,0.9879508428768403,0.9885194781521796,0.9854855812243322,0.0023608352704689835
31,0.5406211853027344,0.08761049007560665,0.11485939025878907,0.004627683815867588,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 30}",0.985194970845481,0.9667000728862974,0.9800929300291545,0.9933459332638165,0.9933259140453669,0.9837256299565541,0.009899086225755502,241,0.9846327966781985,0.9838917888097013,0.9824329996047414,0.9879508428768403,0.9885194781521796,0.9854855812243322,0.0023608352704689835
32,0.4968669891357422,0.04781364948032821,0.11712808609008789,0.0069923926935880915,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 35}",0.985194970845481,0.9667000728862974,0.9800929300291545,0.9933459332638165,0.9933259140453669,0.9837256299565541,0.009899086225755502,241,0.9846327966781985,0.9838917888097013,0.9824329996047414,0.9879508428768403,0.9885194781521796,0.9854855812243322,0.0023608352704689835
33,0.49862189292907716,0.06487852412099326,0.11584696769714356,0.007704701150300574,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 40}",0.985194970845481,0.9667000728862974,0.9800929300291545,0.9933459332638165,0.9933259140453669,0.9837256299565541,0.009899086225755502,241,0.9846327966781985,0.9838917888097013,0.9824329996047414,0.9879508428768403,0.9885194781521796,0.9854855812243322,0.0023608352704689835
