,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
169,1.5813148975372315,0.17796513211532017,0.003125,0.006250000000000001,0.01,"(25, 25)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 55}",0.9896530342454256,0.9838682432432433,0.9809628378378379,0.9807202610774038,0.9846605057117187,0.9839747622784164,0.00323898100854724,110,0.9928498803730111,0.9886988042278134,0.9920970197109795,0.9898467965640948,0.9907118748067938,0.9908408751365385,0.001497150780873078
170,1.4657567501068116,0.19851547244404552,0.0031251430511474608,0.0062502861022949215,0.01,"(25, 25)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 60}",0.9896959459459461,0.9889695945945947,0.9822635135135135,0.9858216124287552,0.9846565748941085,0.9862837225030054,0.0027537060586753054,64,0.9933185881080118,0.9906251786871839,0.9903782697109796,0.9891836621042653,0.9920371991001192,0.991108579542112,0.0014296019112594823
171,2.5282401561737062,0.2459588717552178,0.003125,0.006250000000000001,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 2}",0.48101896927983895,0.4834797297297297,0.5043243243243244,0.49795723018937305,0.48599136824541145,0.49055347969748786,0.009016561442899064,362,0.4933116830716295,0.4987430291745508,0.49024848773018326,0.488961801786548,0.48922997140937907,0.4920989946344581,0.003663644558343076
172,2.5969889640808104,0.43790116794123374,0.009375286102294923,0.00765488904774303,0.01,"(100, 25, 100)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 3}",0.6969372167198257,0.6797972972972974,0.7062500000000002,0.7029918183489612,0.6917623700423566,0.6955491185710276,0.0093220391015117,341,0.7106851627013555,0.7035504452847147,0.7054908652380382,0.7076755380665706,0.7107925177601837,0.7076389058101725,0.002848012607707502
173,2.756416130065918,0.4068251361099717,0.012500715255737305,0.0062503577231327705,0.01,"(100, 25, 100)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 4}",0.794035168709082,0.794070945945946,0.8067905405405407,0.8104796378010664,0.8196374823514311,0.804987067871553,0.009867329828854372,323,0.8165108652352662,0.8163639018933633,0.8220698939431194,0.816702389836913,0.8210718263815956,0.8185437754580516,0.002493985837186595
174,3.8720473766326906,1.170938840328325,0.0031250953674316407,0.006250190734863281,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 5}",0.8712886100386102,0.8469087837837839,0.8618918918918921,0.8614886697922411,0.8652968168399434,0.8613744435135194,0.00804402407437673,302,0.8829261749871786,0.8681903208995427,0.8596672321454252,0.8949992971451539,0.8928344598139463,0.8797234969982494,0.013789651722606606
175,3.518971824645996,0.7037132653932618,0.00625004768371582,0.007654713846955129,0.01,"(100, 25, 100)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 6}",0.922308733422864,0.9140709459459461,0.9205912162162163,0.9253058926273211,0.9088415318957772,0.9182302013850699,0.005957720782221647,282,0.9350947700991047,0.9465909435898704,0.9326032463978325,0.9366628945182712,0.9300710217057674,0.9362045752621693,0.005655235094980698
176,3.1907763481140137,0.5684496057025886,0.009375190734863282,0.007654811246403631,0.01,"(100, 25, 100)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 7}",0.9437237703542051,0.9536993243243244,0.9539020270270271,0.9558693004228719,0.9609919297907843,0.9536283778680408,0.0056117220224324495,246,0.9584153985189299,0.962901759069277,0.9600638869270526,0.9651130181995012,0.9727321399559578,0.9638452405341436,0.005005121741352707
177,3.6939512729644775,0.6167123425294316,0.006249713897705078,0.007654305045364299,0.01,"(100, 25, 100)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 8}",0.9689707486990097,0.9638851351351352,0.9628547297297297,0.9646299871299869,0.9600934571941984,0.9640910540586931,0.0028863226292876356,229,0.9720836115796656,0.9790464641481164,0.974240137549068,0.983312755928858,0.9784897670310022,0.977434547247342,0.0039268783538663025
178,3.8377168655395506,0.5678760848687527,0.00938558578491211,0.007663321776590984,0.01,"(100, 25, 100)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 9}",0.9732834270606009,0.9805912162162164,0.9688344594594596,0.9775445854017282,0.9710341259145167,0.974258968880779,0.004282227727458781,199,0.9834576675154841,0.9896180839918416,0.9877337985323758,0.9875661696989316,0.9887845683363622,0.9874320576149991,0.002121923979177945
179,3.190805768966675,0.7488622972818579,0.0031250953674316407,0.006250190734863281,0.01,"(100, 25, 100)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 10}",0.9856457738794696,0.9657601351351353,0.9763851351351353,0.9754576898326898,0.9701288345526891,0.9746817076559475,0.00669756695176535,198,0.9918578203401679,0.9834503524497055,0.9854131112597705,0.9901578317167683,0.9861668744805766,0.9874091980493978,0.0031159401832164813
180,3.350160551071167,0.30180494478827163,0.006260585784912109,0.007667638600147432,0.01,"(100, 25, 100)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 15}",0.9877234765821724,0.9875675675675676,0.9874662162162164,0.9851459367530797,0.9857446893851881,0.9867310153574022,0.0010685791557688636,51,0.9932510733374359,0.9949478986935009,0.9957413283611002,0.9918242744833958,0.9955505950310725,0.9942630339813011,0.001502252950578271
181,2.8157565593719482,0.4784945997326348,0.0,0.0,0.01,"(100, 25, 100)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 20}",0.9864851225449053,0.9883445945945947,0.9835641891891892,0.977705805295091,0.9864841644204851,0.9845175231032162,0.0037330400820463436,97,0.995571148584366,0.9938142641245368,0.9959617045375698,0.9866330642409106,0.9955782108247905,0.9935116784624347,0.0035191332071434094
182,3.1845289707183837,0.42810802739592024,0.006249904632568359,0.007654538651365517,0.01,"(100, 25, 100)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 25}",0.9936018549605508,0.987043918918919,0.9893412162162163,0.9855037690751977,0.9917526633294829,0.9894489928310837,0.00296410819197581,6,0.9968724784899133,0.9980325961097251,0.9985143008474576,0.9943892957465159,0.9971896381231501,0.9969996618633525,0.0014302001442591753
183,2.815760946273804,0.5168608368588598,0.009375190734863282,0.007654811216700263,0.01,"(100, 25, 100)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 30}",0.9890787099211013,0.9889695945945947,0.9868918918918919,0.9876551296194154,0.980859164420485,0.9866958158907216,0.003025974547014409,55,0.9957665918502545,0.9944928777384254,0.9961449243449768,0.9972278886396574,0.9905682937257125,0.9948401152598054,0.0023078726329812697
184,2.140740394592285,0.1572058603838518,0.006250190734863281,0.007654889049228185,0.01,"(100, 25, 100)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 35}",0.9877312405573276,0.9913682432432434,0.9835135135135137,0.9890571566464422,0.9842222596585803,0.9871804434082787,0.0029514738316501255,47,0.9940865965825879,0.99641786052434,0.992160507385026,0.9941159029565231,0.9937559491001193,0.9941073633097194,0.0013603412439175218
