,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
287,5.634636116027832,1.1264232987168556,0.00625,0.007654655447682631,0.0001,"(50, 50)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.8568499244586202,0.8191891891891893,0.8311993243243243,0.8439791321934179,0.8050701129508407,0.8312813039909112,0.01815207071709787,256,0.865368272632295,0.8291594418777916,0.8354643928532389,0.8184747991359087,0.8158463575972728,0.8328626528193013,0.01774070336038763
288,5.762728023529053,1.1936030605185777,0.0031250476837158202,0.0062500953674316405,0.0001,"(50, 50)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.9041693595769683,0.8926351351351351,0.8638175675675676,0.8740006205184776,0.8885009947375176,0.8846295548368361,0.014199088949999378,198,0.9043339016113899,0.8944960047598773,0.8725593580449121,0.8656669308093432,0.8835828079996914,0.8841278006450428,0.014076333109838902
289,5.78463044166565,2.8887255711258333,0.00625004768371582,0.007654713864777376,0.0001,"(50, 50)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.7468526523417829,0.8790202702702702,0.8908277027027027,0.9243152463688178,0.9334379412142215,0.8747989756988906,0.06716791910460176,208,0.7380649997106877,0.8805193164115372,0.8984475045279143,0.9225285290112363,0.9494592731198616,0.8778039245562475,0.07361423379400972
290,3.925202226638794,0.3449520910156216,0.0,0.0,0.0001,"(50, 50)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.8516746055061274,0.8606250000000001,0.8692060810810812,0.8647561592204449,0.8713532441278398,0.8635135112982147,0.006986341649690825,226,0.8470695920121952,0.8602181170202926,0.8726395112725933,0.8690277498684551,0.8758640856095213,0.8649638111566116,0.010363133164219674
291,6.365907478332519,1.6300388999959265,0.003125429153442383,0.006250858306884766,0.0001,"(50, 50)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.8959808838341448,0.9234966216216216,0.9499493243243244,0.9295026659312373,0.9116168495700167,0.9221087375970441,0.018033817704291882,106,0.8864478999373847,0.9239233326648375,0.9559762917349545,0.9332726272198215,0.9230319417194303,0.9245304186552857,0.022441752884990285
292,6.794024276733398,0.3379733552293002,0.00625,0.007654655447682631,0.0001,"(50, 50)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.9460783531979184,0.9472804054054054,0.9401689189189191,0.9438299779371208,0.9456998459761263,0.9446112360131685,0.0024830594982363885,32,0.9343551944614095,0.9560417227660574,0.9532775511259048,0.944617423427693,0.9547655245453884,0.9486114832652905,0.008173703650631546
293,4.153326368331909,1.6306643434020252,0.003125,0.00625,0.0001,"(50, 50)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.9111822225952663,0.9272972972972974,0.8700675675675675,0.8667248115462401,0.8227857463740214,0.8796673998218948,0.036744272262810705,203,0.9148617716148045,0.9320598937815557,0.8740571260540473,0.8582692992833569,0.839468340621401,0.8837432862710329,0.034657960749275775
294,4.878474760055542,1.0161028325844115,0.012500143051147461,0.006250071533531717,0.0001,"(50, 50)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.9186719405741145,0.9451520270270272,0.9577533783783785,0.937751999448428,0.9371339526376588,0.9392893833100417,0.012716438112194273,45,0.9338342057216298,0.9504448437922097,0.9588005065377759,0.9370018064874129,0.9438130888848533,0.9447788902847762,0.009054398670445909
295,4.631446266174317,0.5990625515993367,0.0,0.0,0.0001,"(50, 50)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.9242449009568575,0.9434966216216217,0.9386148648648649,0.9460152371759516,0.9410932486202028,0.9386854438035701,0.007636894274633077,55,0.9356066380772662,0.948464919062575,0.9391075217794382,0.9460764772332333,0.9474292516056865,0.9433369615516398,0.005063472999735164
296,4.6376903533935545,0.6022149716395289,0.003125286102294922,0.006250572204589844,0.0001,"(50, 50)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.9242449009568575,0.9434966216216217,0.9386148648648649,0.9460152371759516,0.9410932486202028,0.9386854438035701,0.007636894274633077,55,0.9356066380772662,0.948464919062575,0.9391075217794382,0.9460764772332333,0.9474292516056865,0.9433369615516398,0.005063472999735164
